epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,406.463,0.91857,0.89754,0.00246,0.53286,0.89223,0.75895,0.65396,0.63332,0.67635,0.00242,0.000911187,0.000911187,0.000911187
111,410.215,0.88858,0.73851,0.00228,0.56382,0.61503,0.68997,0.59412,0.6461,0.78674,0.00237,0.000909353,0.000909353,0.000909353
112,413.948,0.88301,0.80969,0.00197,0.46302,0.60424,0.62968,0.53597,0.66288,1.05513,0.00248,0.00090752,0.00090752,0.00090752
113,417.372,0.9517,0.84741,0.00248,0.46302,0.60424,0.62968,0.53597,0.66288,1.05513,0.00248,0.000905687,0.000905687,0.000905687
114,420.945,0.92275,0.83976,0.00257,0.55465,0.56407,0.64787,0.5569,0.68039,1.01835,0.00249,0.000903854,0.000903854,0.000903854
115,424.48,0.92933,0.8788,0.00268,0.55465,0.56407,0.64787,0.5569,0.68039,1.01835,0.00249,0.000902021,0.000902021,0.000902021
116,427.969,0.82753,0.81392,0.00199,0.65067,0.64114,0.76701,0.65933,0.66764,0.75999,0.0025,0.000900188,0.000900188,0.000900188
117,431.752,0.97088,0.8328,0.00255,0.6434,0.66349,0.72894,0.63372,0.61259,0.7972,0.00232,0.000898355,0.000898355,0.000898355
118,435.341,0.86381,0.86807,0.00213,0.6434,0.66349,0.72894,0.63372,0.61259,0.7972,0.00232,0.000896521,0.000896521,0.000896521
119,439.592,0.80492,0.76022,0.00248,0.67614,0.694,0.73259,0.62529,0.64675,0.77881,0.00247,0.000894688,0.000894688,0.000894688
120,443.26,0.93493,0.81195,0.00231,0.67614,0.694,0.73259,0.62529,0.64675,0.77881,0.00247,0.000892855,0.000892855,0.000892855
121,446.867,0.88423,0.74631,0.00239,0.57332,0.75106,0.72098,0.58687,0.80625,0.75305,0.00301,0.000891022,0.000891022,0.000891022
122,450.376,0.91274,0.82778,0.0025,0.57332,0.75106,0.72098,0.58687,0.80625,0.75305,0.00301,0.000889189,0.000889189,0.000889189
123,454.016,0.96053,0.83957,0.00266,0.54787,0.70165,0.71318,0.57933,0.80628,0.78167,0.0029,0.000887356,0.000887356,0.000887356
124,457.505,0.93501,0.76701,0.00243,0.58133,0.82772,0.73391,0.60957,0.78965,0.71736,0.003,0.000885523,0.000885523,0.000885523
125,461.083,1.05456,0.90892,0.00311,0.58133,0.82772,0.73391,0.60957,0.78965,0.71736,0.003,0.000883689,0.000883689,0.000883689
126,464.608,1.04189,0.87098,0.00325,0.61945,0.8571,0.7808,0.69097,0.63789,0.69012,0.00238,0.000881856,0.000881856,0.000881856
127,468.223,0.90796,0.75458,0.00216,0.61945,0.8571,0.7808,0.69097,0.63789,0.69012,0.00238,0.000880023,0.000880023,0.000880023
128,472.074,0.83987,0.75493,0.00209,0.60902,0.87554,0.77614,0.67714,0.64356,0.7117,0.00239,0.00087819,0.00087819,0.00087819
129,475.868,0.96181,0.78465,0.00259,0.62425,0.86859,0.77645,0.67133,0.66015,0.69815,0.00246,0.000876357,0.000876357,0.000876357
130,479.396,0.96308,0.77049,0.00232,0.62425,0.86859,0.77645,0.67133,0.66015,0.69815,0.00246,0.000874524,0.000874524,0.000874524
131,482.828,0.88728,0.78379,0.00227,0.63163,0.84836,0.78162,0.68646,0.59573,0.66369,0.00224,0.000872691,0.000872691,0.000872691
132,486.415,0.90362,0.75631,0.00237,0.63163,0.84836,0.78162,0.68646,0.59573,0.66369,0.00224,0.000870857,0.000870857,0.000870857
133,489.697,1.05142,0.76931,0.0028,0.68508,0.83176,0.78965,0.64182,0.76266,0.6966,0.00303,0.000869024,0.000869024,0.000869024
134,492.637,1.03743,0.76467,0.00263,0.68186,0.85282,0.79386,0.63592,0.83052,0.669,0.00329,0.000867191,0.000867191,0.000867191
135,495.534,1.14549,0.79005,0.00324,0.68186,0.85282,0.79386,0.63592,0.83052,0.669,0.00329,0.000865358,0.000865358,0.000865358
136,498.445,1.0486,0.76745,0.00251,0.66667,0.83211,0.79601,0.67732,0.67543,0.63817,0.00254,0.000863525,0.000863525,0.000863525
137,501.34,0.90112,0.71026,0.00242,0.66667,0.83211,0.79601,0.67732,0.67543,0.63817,0.00254,0.000861692,0.000861692,0.000861692
138,504.273,0.91681,0.66173,0.00224,0.70546,0.6517,0.7922,0.68798,0.65391,0.64498,0.00254,0.000859858,0.000859858,0.000859858
139,507.246,0.9235,0.72417,0.00248,0.72008,0.66214,0.80315,0.69368,0.69157,0.66168,0.0027,0.000858025,0.000858025,0.000858025
140,510.244,0.97796,0.75292,0.00275,0.72008,0.66214,0.80315,0.69368,0.69157,0.66168,0.0027,0.000856192,0.000856192,0.000856192
141,513.288,0.95816,0.73424,0.00279,0.636,0.76176,0.81691,0.68318,0.78768,0.67995,0.00288,0.000854359,0.000854359,0.000854359
142,516.198,1.05089,0.74467,0.00252,0.636,0.76176,0.81691,0.68318,0.78768,0.67995,0.00288,0.000852526,0.000852526,0.000852526
143,519.153,1.08889,0.79576,0.00281,0.68786,0.72458,0.81458,0.67272,0.82255,0.66604,0.00297,0.000850693,0.000850693,0.000850693
144,522.442,1.0961,0.75111,0.00275,0.63593,0.74612,0.79514,0.6865,0.64683,0.65026,0.00247,0.00084886,0.00084886,0.00084886
145,525.344,0.85873,0.64053,0.0022,0.63593,0.74612,0.79514,0.6865,0.64683,0.65026,0.00247,0.000847026,0.000847026,0.000847026
