epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,373.571,0.96784,0.7273,0.00259,0.58488,0.69596,0.73957,0.60316,0.79155,0.65824,0.00367,0.00081685,0.00081685,0.00081685
113,376.506,0.91811,0.77943,0.00294,0.58488,0.69596,0.73957,0.60316,0.79155,0.65824,0.00367,0.0008152,0.0008152,0.0008152
114,379.596,0.92911,0.75393,0.00326,0.52577,0.85936,0.73637,0.61897,0.66007,0.54992,0.00324,0.00081355,0.00081355,0.00081355
115,382.489,0.96654,0.81499,0.00343,0.52577,0.85936,0.73637,0.61897,0.66007,0.54992,0.00324,0.0008119,0.0008119,0.0008119
116,385.604,0.85817,0.65896,0.00255,0.5504,0.79218,0.74348,0.60244,0.72498,0.55825,0.00352,0.00081025,0.00081025,0.00081025
117,388.597,0.96915,0.77579,0.00304,0.59043,0.7168,0.76726,0.64157,0.68333,0.6273,0.00317,0.0008086,0.0008086,0.0008086
118,391.677,0.93574,0.75952,0.00295,0.59043,0.7168,0.76726,0.64157,0.68333,0.6273,0.00317,0.00080695,0.00080695,0.00080695
119,394.669,0.80804,0.70715,0.00309,0.576,0.71237,0.73964,0.61065,0.70418,0.66613,0.00342,0.0008053,0.0008053,0.0008053
120,397.823,0.96686,0.74483,0.00307,0.576,0.71237,0.73964,0.61065,0.70418,0.66613,0.00342,0.00080365,0.00080365,0.00080365
121,400.98,0.86861,0.68954,0.00302,0.53578,0.72161,0.74865,0.6096,0.72751,0.62758,0.00329,0.000802,0.000802,0.000802
122,404.069,0.87699,0.7168,0.00296,0.53578,0.72161,0.74865,0.6096,0.72751,0.62758,0.00329,0.00080035,0.00080035,0.00080035
123,407.419,0.8446,0.79317,0.00285,0.48398,0.78404,0.72327,0.61415,0.6738,0.61849,0.0032,0.0007987,0.0007987,0.0007987
124,410.753,0.86869,0.68516,0.00272,0.58632,0.71481,0.72349,0.61482,0.65144,0.57986,0.00339,0.00079705,0.00079705,0.00079705
125,414.158,0.95176,0.77842,0.00341,0.58632,0.71481,0.72349,0.61482,0.65144,0.57986,0.00339,0.0007954,0.0007954,0.0007954
126,417.686,0.90748,0.78695,0.0034,0.59483,0.877,0.7617,0.65617,0.59502,0.54376,0.003,0.00079375,0.00079375,0.00079375
127,421.123,0.87497,0.7016,0.00266,0.59483,0.877,0.7617,0.65617,0.59502,0.54376,0.003,0.0007921,0.0007921,0.0007921
128,424.667,0.87702,0.64518,0.00269,0.59609,0.85274,0.78214,0.65523,0.65907,0.56839,0.00324,0.00079045,0.00079045,0.00079045
